,auc_train_score,auc_test_score,bacc_train_score,bacc_test_score,cv_idx,smote__sampling_strategy
0,1.0,0.8325027409548489,1.0,0.832502740954849,499,0.0
1,1.0,0.8467058706269313,1.0,0.8467058706269311,499,0.5
2,1.0,0.829645503172863,1.0,0.8296455031728629,499,1.0
3,1.0,0.8622960895710821,1.0,0.8622960895710821,499,2.0
4,1.0,0.8704774244991528,1.0,0.8704774244991528,499,3.0
5,1.0,0.8454682879829893,1.0,0.8454682879829895,499,4.0
6,1.0,0.8647629489351806,1.0,0.8647629489351806,499,5.0
7,1.0,0.8244756165826995,1.0,0.8244756165826994,0,0.0
8,1.0,0.8202937205703185,1.0,0.8202937205703185,0,0.5
9,1.0,0.8090240047416773,1.0,0.8090240047416773,0,1.0
10,1.0,0.8244920807402286,1.0,0.8244920807402285,0,2.0
11,1.0,0.8339260430043794,1.0,0.8339260430043796,0,3.0
12,1.0,0.8480687543218414,1.0,0.8480687543218414,0,4.0
13,1.0,0.8244920807402286,1.0,0.8244920807402285,0,5.0
14,1.0,0.8525058447759228,1.0,0.8525058447759228,1,0.0
15,1.0,0.8635203661628635,1.0,0.8635203661628634,1,0.5
16,1.0,0.8658829727682835,1.0,0.8658829727682835,1,1.0
17,1.0,0.840725740063881,1.0,0.840725740063881,1,2.0
18,1.0,0.8611742237149725,1.0,0.8611742237149725,1,3.0
19,1.0,0.8661546313675128,1.0,0.8661546313675129,1,4.0
20,1.0,0.8779347360795549,1.0,0.8779347360795549,1,5.0
21,1.0,0.808225493101518,1.0,0.808225493101518,2,0.0
22,1.0,0.8569593993875333,1.0,0.8569593993875333,2,0.5
23,1.0,0.8113701471895682,1.0,0.8113701471895682,2,1.0
24,1.0,0.8831703381737956,1.0,0.8831703381737956,2,2.0
25,1.0,0.8472867068392109,1.0,0.847286706839211,2,3.0
26,1.0,0.8554117685798018,1.0,0.8554117685798017,2,4.0
27,1.0,0.854884915538872,1.0,0.8548849155388719,2,5.0
28,1.0,0.8367990384932004,1.0,0.8367990384932003,3,0.0
29,1.0,0.8367990384932004,1.0,0.8367990384932003,3,0.5
30,1.0,0.8402153511804801,1.0,0.8402153511804802,3,1.0
31,1.0,0.8698261384964932,1.0,0.8698261384964932,3,2.0
32,1.0,0.8564654746616616,1.0,0.8564654746616616,3,3.0
33,1.0,0.8617010767559024,1.0,0.8617010767559024,3,4.0
34,1.0,0.8556834271790312,1.0,0.8556834271790312,3,5.0
35,1.0,0.8250024696236294,1.0,0.8250024696236293,4,0.0
36,1.0,0.8627383186802332,1.0,0.8627383186802331,4,0.5
37,1.0,0.8485956073627713,1.0,0.8485956073627713,4,1.0
38,1.0,0.8305261944746287,1.0,0.8305261944746287,4,2.0
39,1.0,0.8606473706740426,1.0,0.8606473706740426,4,3.0
40,1.0,0.8658994369258125,1.0,0.8658994369258125,4,4.0
41,1.0,0.8483404129210709,1.0,0.8483404129210709,4,5.0
42,1.0,0.8666650202509137,1.0,0.8666650202509139,5,0.0
43,1.0,0.8451792946754915,1.0,0.8451792946754915,5,0.5
44,1.0,0.8695544798972636,1.0,0.8695544798972636,5,1.0
45,1.0,0.8556669630215022,1.0,0.8556669630215021,5,2.0
46,1.0,0.8855494089367447,1.0,0.8855494089367447,5,3.0
47,1.0,0.8805690012842042,1.0,0.8805690012842042,5,4.0
48,1.0,0.8755885936316639,1.0,0.8755885936316639,5,5.0
49,1.0,0.8626317184704088,1.0,0.8626317184704089,6,0.0
50,1.0,0.8684140764795546,1.0,0.8684140764795547,6,0.5
51,1.0,0.8703857114454239,1.0,0.8703857114454239,6,1.0
52,1.0,0.8733348797136987,1.0,0.8733348797136987,6,2.0
53,1.0,0.8835906952084299,1.0,0.88359069520843,6,3.0
54,1.0,0.8841374511233347,1.0,0.8841374511233349,6,4.0
55,1.0,0.8751905361521638,1.0,0.8751905361521638,6,5.0
56,1.0,0.8476870567963417,1.0,0.8476870567963417,7,0.0
57,1.0,0.8335045397309299,1.0,0.8335045397309297,7,0.5
58,1.0,0.8522764928093313,1.0,0.8522764928093314,7,1.0
59,1.0,0.8604612631718472,1.0,0.8604612631718471,7,2.0
60,1.0,0.8691927894492677,1.0,0.8691927894492677,7,3.0
61,1.0,0.8762840479819737,1.0,0.8762840479819736,7,4.0
62,1.0,0.8533700046391411,1.0,0.853370004639141,7,5.0
63,1.0,0.8498704275889565,1.0,0.8498704275889565,8,0.0
64,1.0,0.8561995415130071,1.0,0.856199541513007,8,0.5
65,1.0,0.8464733047609555,1.0,0.8464733047609555,8,1.0
66,1.0,0.8404515100169441,1.0,0.8404515100169441,8,2.0
67,1.0,0.8615236386590917,1.0,0.8615236386590917,8,3.0
68,1.0,0.8644556297551415,1.0,0.8644556297551413,8,4.0
69,1.0,0.8754942024651983,1.0,0.8754942024651982,8,5.0
70,1.0,0.8111232931326623,1.0,0.8111232931326622,9,0.0
71,1.0,0.7969201634605801,1.0,0.79692016346058,9,0.5
72,1.0,0.8188394963287817,1.0,0.8188394963287817,9,1.0
73,1.0,0.8069537193926708,1.0,0.8069537193926708,9,2.0
74,1.0,0.824396159340842,1.0,0.8243961593408419,9,3.0
75,1.0,0.8230838233828367,1.0,0.8230838233828366,9,4.0
76,1.0,0.8236237084288516,1.0,0.8236237084288515,9,5.0
77,1.0,0.8420346405874412,1.0,0.8420346405874412,10,0.0
78,1.0,0.8145148012776187,1.0,0.8145148012776187,10,0.5
79,1.0,0.8373258915341303,1.0,0.8373258915341302,10,1.0
80,1.0,0.8564490105041326,1.0,0.8564490105041325,10,2.0
81,1.0,0.83890645065692,1.0,0.8389064506569199,10,3.0
82,1.0,0.8669366788501432,1.0,0.8669366788501432,10,4.0
