,ratio,auc_train_score,auc_test_score,bacc_train_score,bacc_test_score,cv_idx,smote__sampling_strategy
0,21.81081081081081,1.0,0.6193820224719101,1.0,0.6193820224719101,499,0.0
1,14.672727272727272,1.0,0.7387640449438202,1.0,0.7387640449438202,499,0.5
2,10.905405405405405,1.0,0.7443820224719101,1.0,0.7443820224719101,499,1.0
3,7.27027027027027,1.0,0.7275280898876405,1.0,0.7275280898876404,499,2.0
4,5.452702702702703,1.0,0.7331460674157303,1.0,0.7331460674157304,499,3.0
5,4.3621621621621625,1.0,0.6081460674157303,1.0,0.6081460674157304,499,4.0
6,3.635135135135135,1.0,0.7443820224719101,1.0,0.7443820224719101,499,5.0
7,22.38888888888889,1.0,0.6944444444444444,1.0,0.6944444444444444,0,0.0
8,14.925925925925926,1.0,0.7777777777777778,1.0,0.7777777777777778,0,0.5
9,11.194444444444445,1.0,0.7944444444444445,1.0,0.7944444444444445,0,1.0
10,7.462962962962963,1.0,0.7666666666666667,1.0,0.7666666666666666,0,2.0
11,5.597222222222222,1.0,0.788888888888889,1.0,0.7888888888888889,0,3.0
12,4.477777777777778,1.0,0.5833333333333333,1.0,0.5833333333333334,0,4.0
13,3.7314814814814814,1.0,0.7611111111111112,1.0,0.7611111111111111,0,5.0
14,21.783783783783782,1.0,0.8527777777777779,1.0,0.8527777777777779,1,0.0
15,14.654545454545454,1.0,0.8527777777777779,1.0,0.8527777777777779,1,0.5
16,10.891891891891891,1.0,0.8527777777777779,1.0,0.8527777777777779,1,1.0
17,7.261261261261262,1.0,0.7444444444444445,1.0,0.7444444444444445,1,2.0
18,5.445945945945946,1.0,0.8638888888888888,1.0,0.8638888888888889,1,3.0
19,4.356756756756757,1.0,0.7388888888888888,1.0,0.7388888888888889,1,4.0
20,3.630630630630631,1.0,0.9888888888888888,1.0,0.9888888888888889,1,5.0
21,21.783783783783782,1.0,0.8361111111111111,1.0,0.8361111111111111,2,0.0
22,14.654545454545454,1.0,0.7277777777777777,1.0,0.7277777777777779,2,0.5
23,10.891891891891891,1.0,0.7333333333333333,1.0,0.7333333333333334,2,1.0
24,7.261261261261262,1.0,0.825,1.0,0.825,2,2.0
25,5.445945945945946,1.0,0.7055555555555556,1.0,0.7055555555555555,2,3.0
26,4.356756756756757,1.0,0.8472222222222222,1.0,0.8472222222222222,2,4.0
27,3.630630630630631,1.0,0.7055555555555556,1.0,0.7055555555555555,2,5.0
28,21.783783783783782,1.0,0.6194444444444445,1.0,0.6194444444444445,3,0.0
29,14.654545454545454,1.0,0.6138888888888888,1.0,0.6138888888888889,3,0.5
30,10.891891891891891,1.0,0.7444444444444445,1.0,0.7444444444444445,3,1.0
31,7.261261261261262,1.0,0.7333333333333333,1.0,0.7333333333333334,3,2.0
32,5.445945945945946,1.0,0.7388888888888888,1.0,0.7388888888888889,3,3.0
33,4.356756756756757,1.0,0.8583333333333333,1.0,0.8583333333333334,3,4.0
34,3.630630630630631,1.0,0.5916666666666667,1.0,0.5916666666666667,3,5.0
35,21.783783783783782,1.0,0.7333333333333333,1.0,0.7333333333333334,4,0.0
36,14.654545454545454,1.0,0.8527777777777779,1.0,0.8527777777777779,4,0.5
37,10.891891891891891,1.0,0.7333333333333333,1.0,0.7333333333333334,4,1.0
38,7.261261261261262,1.0,0.7166666666666667,1.0,0.7166666666666667,4,2.0
39,5.445945945945946,1.0,0.8361111111111111,1.0,0.8361111111111111,4,3.0
40,4.356756756756757,1.0,0.8527777777777779,1.0,0.8527777777777779,4,4.0
41,3.630630630630631,1.0,0.8416666666666667,1.0,0.8416666666666667,4,5.0
42,21.783783783783782,1.0,0.7333333333333333,1.0,0.7333333333333334,5,0.0
43,14.654545454545454,1.0,0.7444444444444445,1.0,0.7444444444444445,5,0.5
44,10.891891891891891,1.0,0.8694444444444445,1.0,0.8694444444444445,5,1.0
45,7.261261261261262,1.0,0.9722222222222222,1.0,0.9722222222222222,5,2.0
46,5.445945945945946,1.0,0.9777777777777779,1.0,0.9777777777777779,5,3.0
47,4.356756756756757,1.0,0.7388888888888888,1.0,0.7388888888888889,5,4.0
48,3.630630630630631,1.0,0.9833333333333334,1.0,0.9833333333333334,5,5.0
49,21.81081081081081,1.0,0.4943820224719101,1.0,0.4943820224719101,6,0.0
50,14.672727272727272,1.0,0.6193820224719101,1.0,0.6193820224719101,6,0.5
51,10.905405405405405,1.0,0.47752808988764045,1.0,0.47752808988764045,6,1.0
52,7.27027027027027,1.0,0.4887640449438202,1.0,0.4887640449438202,6,2.0
53,5.452702702702703,1.0,0.4887640449438202,1.0,0.4887640449438202,6,3.0
54,4.3621621621621625,1.0,0.4887640449438202,1.0,0.4887640449438202,6,4.0
55,3.635135135135135,1.0,0.6081460674157303,1.0,0.6081460674157304,6,5.0
56,21.81081081081081,1.0,0.7275280898876405,1.0,0.7275280898876404,7,0.0
57,14.672727272727272,1.0,0.7387640449438202,1.0,0.7387640449438202,7,0.5
58,10.905405405405405,1.0,0.7331460674157303,1.0,0.7331460674157304,7,1.0
59,7.27027027027027,1.0,0.6025280898876405,1.0,0.6025280898876404,7,2.0
60,5.452702702702703,1.0,0.7219101123595505,1.0,0.7219101123595506,7,3.0
61,4.3621621621621625,1.0,0.7331460674157303,1.0,0.7331460674157304,7,4.0
62,3.635135135135135,1.0,0.6025280898876405,1.0,0.6025280898876404,7,5.0
63,21.81081081081081,1.0,0.6081460674157303,1.0,0.6081460674157304,8,0.0
64,14.672727272727272,1.0,0.6193820224719101,1.0,0.6193820224719101,8,0.5
