,auc_train_score,auc_test_score,bacc_train_score,bacc_test_score,cv_idx,smote__sampling_strategy
0,1.0,0.5876923076923077,1.0,0.5876923076923077,499,0.6
1,1.0,0.54,1.0,0.54,499,0.65
2,1.0,0.6084615384615384,1.0,0.6084615384615384,499,0.7000000000000001
3,1.0,0.676153846153846,1.0,0.6761538461538461,499,0.7500000000000001
4,1.0,0.6076923076923078,1.0,0.6076923076923078,499,0.8000000000000002
5,1.0,0.6176923076923077,1.0,0.6176923076923078,499,0.8500000000000002
6,1.0,0.6469230769230768,1.0,0.6469230769230769,499,0.9000000000000002
7,1.0,0.5984615384615384,1.0,0.5984615384615384,499,0.9500000000000003
8,1.0,0.6592592592592593,1.0,0.6592592592592592,0,0.6
9,1.0,0.6422222222222222,1.0,0.6422222222222222,0,0.65
10,1.0,0.6892592592592592,1.0,0.6892592592592592,0,0.7000000000000001
11,1.0,0.6862962962962964,1.0,0.6862962962962963,0,0.7500000000000001
12,1.0,0.6507407407407407,1.0,0.6507407407407407,0,0.8000000000000002
13,1.0,0.6592592592592593,1.0,0.6592592592592592,0,0.8500000000000002
14,1.0,0.6607407407407406,1.0,0.6607407407407407,0,0.9000000000000002
15,1.0,0.6307407407407407,1.0,0.6307407407407407,0,0.9500000000000003
16,1.0,0.6677777777777778,1.0,0.6677777777777778,1,0.6
17,1.0,0.7248148148148149,1.0,0.7248148148148148,1,0.65
18,1.0,0.7233333333333333,1.0,0.7233333333333334,1,0.7000000000000001
19,1.0,0.6477777777777778,1.0,0.6477777777777778,1,0.7500000000000001
20,1.0,0.6777777777777778,1.0,0.6777777777777778,1,0.8000000000000002
21,1.0,0.778888888888889,1.0,0.778888888888889,1,0.8500000000000002
22,1.0,0.6792592592592592,1.0,0.6792592592592592,1,0.9000000000000002
23,1.0,0.6862962962962964,1.0,0.6862962962962963,1,0.9500000000000003
24,1.0,0.6577777777777778,1.0,0.6577777777777778,2,0.6
25,1.0,0.7248148148148149,1.0,0.7248148148148148,2,0.65
26,1.0,0.7018518518518517,1.0,0.7018518518518518,2,0.7000000000000001
27,1.0,0.6177777777777778,1.0,0.6177777777777778,2,0.7500000000000001
