,auc_train_score,auc_test_score,bacc_train_score,bacc_test_score,cv_idx,smote__sampling_strategy
0,1.0,0.6269230769230769,1.0,0.6269230769230769,499,0.0
1,1.0,0.6369230769230769,1.0,0.6369230769230769,499,0.5
2,1.0,0.5107692307692309,1.0,0.5107692307692309,499,1.0
3,1.0,0.53,1.0,0.53,499,2.0
4,1.0,0.6353846153846154,1.0,0.6353846153846154,499,3.0
5,1.0,0.4515384615384615,1.0,0.45153846153846156,499,4.0
6,1.0,0.6661538461538461,1.0,0.6661538461538461,499,5.0
7,1.0,0.5666666666666667,1.0,0.5666666666666667,0,0.0
8,1.0,0.6948148148148149,1.0,0.6948148148148148,0,0.5
9,1.0,0.6492592592592593,1.0,0.6492592592592592,0,1.0
10,1.0,0.6877777777777779,1.0,0.6877777777777778,0,2.0
11,1.0,0.6607407407407406,1.0,0.6607407407407407,0,3.0
12,1.0,0.6692592592592593,1.0,0.6692592592592592,0,4.0
13,1.0,0.7233333333333333,1.0,0.7233333333333334,0,5.0
14,1.0,0.6777777777777778,1.0,0.6777777777777778,1,0.0
15,1.0,0.6207407407407407,1.0,0.6207407407407407,1,0.5
16,1.0,0.7033333333333333,1.0,0.7033333333333334,1,1.0
17,1.0,0.6948148148148149,1.0,0.6948148148148148,1,2.0
18,1.0,0.6462962962962963,1.0,0.6462962962962963,1,3.0
19,1.0,0.5892592592592593,1.0,0.5892592592592593,1,4.0
20,1.0,0.6533333333333333,1.0,0.6533333333333333,1,5.0
21,1.0,0.6492592592592593,1.0,0.6492592592592592,2,0.0
22,1.0,0.7618518518518519,1.0,0.7618518518518518,2,0.5
23,1.0,0.6648148148148149,1.0,0.6648148148148147,2,1.0
24,1.0,0.6848148148148149,1.0,0.6848148148148148,2,2.0
25,1.0,0.6548148148148147,1.0,0.6548148148148148,2,3.0
26,1.0,0.5792592592592594,1.0,0.5792592592592593,2,4.0
27,1.0,0.6618518518518519,1.0,0.6618518518518519,2,5.0
28,1.0,0.6962962962962963,1.0,0.6962962962962963,3,0.0
29,1.0,0.7048148148148149,1.0,0.7048148148148148,3,0.5
30,1.0,0.6677777777777778,1.0,0.6677777777777778,3,1.0
31,1.0,0.6577777777777778,1.0,0.6577777777777778,3,2.0
32,1.0,0.6562962962962962,1.0,0.6562962962962963,3,3.0
33,1.0,0.6107407407407408,1.0,0.6107407407407407,3,4.0
34,1.0,0.5792592592592594,1.0,0.5792592592592593,3,5.0
35,1.0,0.6562962962962962,1.0,0.6562962962962963,4,0.0
36,1.0,0.6833333333333332,1.0,0.6833333333333333,4,0.5
37,1.0,0.6533333333333333,1.0,0.6533333333333333,4,1.0
38,1.0,0.6533333333333333,1.0,0.6533333333333333,4,2.0
39,1.0,0.6733333333333332,1.0,0.6733333333333333,4,3.0
40,1.0,0.6533333333333333,1.0,0.6533333333333333,4,4.0
41,1.0,0.6218518518518519,1.0,0.6218518518518519,4,5.0
42,1.0,0.7562962962962962,1.0,0.7562962962962962,5,0.0
43,1.0,0.8074074074074075,1.0,0.8074074074074074,5,0.5
44,1.0,0.7703703703703704,1.0,0.7703703703703704,5,1.0
45,1.0,0.7703703703703704,1.0,0.7703703703703704,5,2.0
46,1.0,0.7018518518518517,1.0,0.7018518518518518,5,3.0
47,1.0,0.6462962962962963,1.0,0.6462962962962963,5,4.0
48,1.0,0.6833333333333332,1.0,0.6833333333333333,5,5.0
49,1.0,0.5892592592592593,1.0,0.5892592592592593,6,0.0
50,1.0,0.6362962962962962,1.0,0.6362962962962964,6,0.5
51,1.0,0.6533333333333333,1.0,0.6533333333333333,6,1.0
52,1.0,0.5562962962962963,1.0,0.5562962962962963,6,2.0
53,1.0,0.6903703703703703,1.0,0.6903703703703703,6,3.0
54,1.0,0.7218518518518519,1.0,0.7218518518518519,6,4.0
55,1.0,0.6448148148148148,1.0,0.6448148148148148,6,5.0
56,1.0,0.7162962962962963,1.0,0.7162962962962962,7,0.0
57,1.0,0.7262962962962962,1.0,0.7262962962962962,7,0.5
58,1.0,0.7648148148148148,1.0,0.7648148148148148,7,1.0
59,1.0,0.7148148148148149,1.0,0.7148148148148148,7,2.0
60,1.0,0.6307407407407407,1.0,0.6307407407407407,7,3.0
61,1.0,0.6262962962962961,1.0,0.6262962962962964,7,4.0
62,1.0,0.6633333333333333,1.0,0.6633333333333333,7,5.0
63,1.0,0.6115384615384616,1.0,0.6115384615384616,8,0.0
64,1.0,0.6684615384615384,1.0,0.6684615384615384,8,0.5
65,1.0,0.6199999999999999,1.0,0.62,8,1.0
66,1.0,0.6684615384615384,1.0,0.6684615384615384,8,2.0
67,1.0,0.6276923076923077,1.0,0.6276923076923078,8,3.0
68,1.0,0.6084615384615384,1.0,0.6084615384615384,8,4.0
69,1.0,0.6369230769230769,1.0,0.6369230769230769,8,5.0
70,1.0,0.6984615384615386,1.0,0.6984615384615385,9,0.0
71,1.0,0.6199999999999999,1.0,0.62,9,0.5
72,1.0,0.7653846153846154,1.0,0.7653846153846153,9,1.0
73,1.0,0.7461538461538462,1.0,0.7461538461538462,9,2.0
74,1.0,0.7461538461538462,1.0,0.7461538461538462,9,3.0
75,1.0,0.7153846153846153,1.0,0.7153846153846153,9,4.0
76,1.0,0.7061538461538461,1.0,0.7061538461538461,9,5.0
77,1.0,0.6877777777777779,1.0,0.6877777777777778,10,0.0
78,1.0,0.7233333333333333,1.0,0.7233333333333334,10,0.5
79,1.0,0.6762962962962963,1.0,0.6762962962962963,10,1.0
80,1.0,0.7133333333333333,1.0,0.7133333333333334,10,2.0
81,1.0,0.7403703703703703,1.0,0.7403703703703703,10,3.0
82,1.0,0.7233333333333333,1.0,0.7233333333333334,10,4.0
83,1.0,0.6933333333333334,1.0,0.6933333333333334,10,5.0
84,1.0,0.6962962962962963,1.0,0.6962962962962963,11,0.0
85,1.0,0.7148148148148149,1.0,0.7148148148148148,11,0.5
86,1.0,0.7062962962962963,1.0,0.7062962962962962,11,1.0
87,1.0,0.6848148148148149,1.0,0.6848148148148148,11,2.0
88,1.0,0.6277777777777778,1.0,0.6277777777777778,11,3.0
89,1.0,0.768888888888889,1.0,0.768888888888889,11,4.0
90,1.0,0.6833333333333332,1.0,0.6833333333333333,11,5.0
91,1.0,0.6022222222222222,1.0,0.6022222222222222,12,0.0
92,1.0,0.6877777777777779,1.0,0.6877777777777778,12,0.5
93,1.0,0.6492592592592593,1.0,0.6492592592592592,12,1.0
94,1.0,0.6862962962962964,1.0,0.6862962962962963,12,2.0
95,1.0,0.6248148148148148,1.0,0.6248148148148148,12,3.0
96,1.0,0.6107407407407408,1.0,0.6107407407407407,12,4.0
97,1.0,0.6377777777777778,1.0,0.6377777777777778,12,5.0
98,1.0,0.6062962962962963,1.0,0.6062962962962963,13,0.0
99,1.0,0.7203703703703703,1.0,0.7203703703703703,13,0.5
100,1.0,0.7659259259259259,1.0,0.7659259259259259,13,1.0
101,1.0,0.6262962962962961,1.0,0.6262962962962964,13,2.0
102,1.0,0.6677777777777778,1.0,0.6677777777777778,13,3.0
103,1.0,0.6733333333333332,1.0,0.6733333333333333,13,4.0
104,1.0,0.6633333333333333,1.0,0.6633333333333333,13,5.0
105,1.0,0.7533333333333333,1.0,0.7533333333333333,14,0.0
106,1.0,0.6848148148148149,1.0,0.6848148148148148,14,0.5
107,1.0,0.6492592592592593,1.0,0.6492592592592592,14,1.0
108,1.0,0.7033333333333333,1.0,0.7033333333333334,14,2.0
109,1.0,0.7403703703703703,1.0,0.7403703703703703,14,3.0
110,1.0,0.6477777777777778,1.0,0.6477777777777778,14,4.0
111,1.0,0.5892592592592593,1.0,0.5892592592592593,14,5.0
112,1.0,0.6048148148148149,1.0,0.6048148148148148,15,0.0
113,1.0,0.6733333333333332,1.0,0.6733333333333333,15,0.5
114,1.0,0.6988888888888889,1.0,0.6988888888888889,15,1.0
115,1.0,0.6903703703703703,1.0,0.6903703703703703,15,2.0
116,1.0,0.6703703703703703,1.0,0.6703703703703703,15,3.0
117,1.0,0.6333333333333333,1.0,0.6333333333333333,15,4.0
118,1.0,0.6518518518518518,1.0,0.6518518518518519,15,5.0
119,1.0,0.7333333333333333,1.0,0.7333333333333334,16,0.0
120,1.0,0.6807407407407406,1.0,0.6807407407407408,16,0.5
121,1.0,0.7062962962962963,1.0,0.7062962962962962,16,1.0
122,1.0,0.6877777777777779,1.0,0.6877777777777778,16,2.0
123,1.0,0.7148148148148149,1.0,0.7148148148148148,16,3.0
124,1.0,0.6477777777777778,1.0,0.6477777777777778,16,4.0
