,ratio,auc_train_score,auc_test_score,bacc_train_score,bacc_test_score,cv_idx,smote__sampling_strategy
0,13.012131014961586,1.0,0.9166311061201572,1.0,0.9166311061201572,499,0.0
1,8.675923429495821,1.0,0.9191618600377724,1.0,0.9191618600377724,499,0.5
2,6.506065507480793,1.0,0.9294114644479607,1.0,0.9294114644479607,499,1.0
3,4.337377004987195,1.0,0.9477994997703028,1.0,0.9477994997703028,499,2.0
4,3.2530327537403965,1.0,0.9392348527385024,1.0,0.9392348527385024,499,3.0
5,2.602426202992317,1.0,0.9254821091317442,1.0,0.9254821091317442,499,4.0
6,2.1686885024935973,1.0,0.9287055280485937,1.0,0.9287055280485937,499,5.0
7,13.016990291262136,1.0,0.9227984543420784,1.0,0.9227984543420784,0,0.0
8,8.677993527508091,1.0,0.9356655480984339,1.0,0.9356655480984339,0,0.5
9,6.508495145631068,1.0,0.9299313605857229,1.0,0.929931360585723,0,1.0
10,4.338996763754046,1.0,0.9299313605857229,1.0,0.929931360585723,0,2.0
11,3.254247572815534,1.0,0.94237899125483,1.0,0.9423789912548302,0,3.0
12,2.603398058252427,1.0,0.9348266219239373,1.0,0.9348266219239374,0,4.0
13,2.169498381877023,1.0,0.9395820622330691,1.0,0.939582062233069,0,5.0
14,13.016990291262136,1.0,0.9278335367093756,1.0,0.9278335367093756,1,0.0
15,8.677993527508091,1.0,0.9255958918039455,1.0,0.9255958918039455,1,0.5
16,6.508495145631068,1.0,0.9302115110839942,1.0,0.9302115110839944,1,1.0
17,4.338996763754046,1.0,0.9430786048403499,1.0,0.9430786048403499,1,2.0
18,3.254247572815534,1.0,0.9381838519422412,1.0,0.9381838519422412,1,3.0
19,2.603398058252427,1.0,0.9321695139312589,1.0,0.9321695139312589,1,4.0
20,2.169498381877023,1.0,0.9348266219239373,1.0,0.9348266219239374,1,5.0
21,13.016990291262136,1.0,0.9351062639821028,1.0,0.9351062639821028,2,0.0
22,8.677993527508091,1.0,0.9247564571893431,1.0,0.9247564571893431,2,0.5
23,6.508495145631068,1.0,0.9265746390075249,1.0,0.9265746390075249,2,1.0
24,4.338996763754046,1.0,0.9427984543420785,1.0,0.9427984543420784,2,2.0
25,3.254247572815534,1.0,0.9377633719747814,1.0,0.9377633719747813,2,3.0
26,2.603398058252427,1.0,0.941399735611145,1.0,0.941399735611145,2,4.0
27,2.169498381877023,1.0,0.9458755338621111,1.0,0.945875533862111,2,5.0
