,auc_train_score,auc_test_score,bacc_train_score,bacc_test_score,cv_idx,smote__sampling_strategy
0,1.0,0.7658787541713015,1.0,0.7658787541713015,499,0.0
1,1.0,0.7080088987764183,1.0,0.7080088987764183,499,0.5
2,1.0,0.793270300333704,1.0,0.793270300333704,499,1.0
3,1.0,0.8093993325917688,1.0,0.8093993325917685,499,2.0
4,1.0,0.803058954393771,1.0,0.8030589543937708,499,3.0
5,1.0,0.7953003337041157,1.0,0.7953003337041157,499,4.0
6,1.0,0.7699388209121245,1.0,0.7699388209121246,499,5.0
7,1.0,0.8347676419965577,1.0,0.8347676419965577,0,0.0
8,1.0,0.8137311149359343,1.0,0.8137311149359342,0,0.5
9,1.0,0.8675655000956206,1.0,0.8675655000956206,0,1.0
10,1.0,0.8454771466819659,1.0,0.8454771466819659,0,2.0
11,1.0,0.8233887932683114,1.0,0.8233887932683113,0,3.0
12,1.0,0.7882004207305412,1.0,0.7882004207305412,0,4.0
13,1.0,0.8385924650984893,1.0,0.8385924650984893,0,5.0
14,1.0,0.768885064065787,1.0,0.7688850640657869,1,0.0
15,1.0,0.7624784853700516,1.0,0.7624784853700517,1,0.5
16,1.0,0.7811244979919678,1.0,0.7811244979919678,1,1.0
17,1.0,0.8349588831516543,1.0,0.8349588831516542,1,2.0
18,1.0,0.7785427423981641,1.0,0.7785427423981641,1,3.0
19,1.0,0.8111493593421304,1.0,0.8111493593421304,1,4.0
20,1.0,0.7926945878753107,1.0,0.7926945878753108,1,5.0
21,1.0,0.7635303117230829,1.0,0.7635303117230828,2,0.0
22,1.0,0.7502390514438706,1.0,0.7502390514438707,2,0.5
23,1.0,0.7768215720022948,1.0,0.7768215720022948,2,1.0
24,1.0,0.7991011665710461,1.0,0.7991011665710461,2,2.0
25,1.0,0.7999617517689807,1.0,0.7999617517689808,2,3.0
26,1.0,0.8087588449034232,1.0,0.8087588449034232,2,4.0
27,1.0,0.8180340409256072,1.0,0.8180340409256073,2,5.0
28,1.0,0.7227959456875119,1.0,0.7227959456875119,3,0.0
29,1.0,0.685025817555938,1.0,0.685025817555938,3,0.5
30,1.0,0.7837062535857717,1.0,0.7837062535857717,3,1.0
31,1.0,0.751290877796902,1.0,0.7512908777969018,3,2.0
32,1.0,0.7609485561292789,1.0,0.760948556129279,3,3.0
33,1.0,0.7706062344616563,1.0,0.7706062344616562,3,4.0
34,1.0,0.7654427232740486,1.0,0.7654427232740486,3,5.0
35,1.0,0.7519602218397399,1.0,0.7519602218397399,4,0.0
36,1.0,0.753012048192771,1.0,0.7530120481927711,4,0.5
37,1.0,0.7131382673551349,1.0,0.7131382673551347,4,1.0
38,1.0,0.7607573149741824,1.0,0.7607573149741824,4,2.0
39,1.0,0.8040734366035571,1.0,0.8040734366035571,4,3.0
40,1.0,0.7995792694587875,1.0,0.7995792694587875,4,4.0
41,1.0,0.7837062535857717,1.0,0.7837062535857717,4,5.0
42,1.0,0.8036151279199111,1.0,0.8036151279199111,5,0.0
43,1.0,0.8082313681868744,1.0,0.8082313681868742,5,0.5
44,1.0,0.8010289210233592,1.0,0.8010289210233592,5,1.0
45,1.0,0.7993047830923249,1.0,0.7993047830923248,5,2.0
46,1.0,0.7690767519466073,1.0,0.7690767519466073,5,3.0
47,1.0,0.7736929922135706,1.0,0.7736929922135707,5,4.0
48,1.0,0.7567018909899889,1.0,0.756701890989989,5,5.0
49,1.0,0.732202447163515,1.0,0.732202447163515,6,0.0
50,1.0,0.7270300333704116,1.0,0.7270300333704116,6,0.5
51,1.0,0.7512235817575083,1.0,0.7512235817575084,6,1.0
52,1.0,0.7483314794215795,1.0,0.7483314794215795,6,2.0
53,1.0,0.7941323692992214,1.0,0.7941323692992214,6,3.0
54,1.0,0.7477753058954393,1.0,0.7477753058954394,6,4.0
55,1.0,0.7578698553948833,1.0,0.7578698553948833,6,5.0
56,1.0,0.7615684093437152,1.0,0.7615684093437153,7,0.0
57,1.0,0.7419911012235817,1.0,0.7419911012235818,7,0.5
58,1.0,0.7405728587319242,1.0,0.7405728587319244,7,1.0
59,1.0,0.7903781979977753,1.0,0.7903781979977753,7,2.0
60,1.0,0.7837319243604004,1.0,0.7837319243604004,7,3.0
61,1.0,0.7682146829810902,1.0,0.7682146829810901,7,4.0
62,1.0,0.8090934371523916,1.0,0.8090934371523915,7,5.0
63,1.0,0.6878754171301447,1.0,0.6878754171301446,8,0.0
64,1.0,0.7036985539488321,1.0,0.7036985539488321,8,0.5
65,1.0,0.7244438264738599,1.0,0.7244438264738599,8,1.0
66,1.0,0.7040044493882092,1.0,0.7040044493882092,8,2.0
67,1.0,0.7299221357063403,1.0,0.7299221357063403,8,3.0
68,1.0,0.728503893214683,1.0,0.728503893214683,8,4.0
69,1.0,0.7463570634037819,1.0,0.7463570634037819,8,5.0
70,1.0,0.7578142380422691,1.0,0.7578142380422692,9,0.0
71,1.0,0.7546718576195772,1.0,0.7546718576195773,9,0.5
72,1.0,0.7759733036707454,1.0,0.7759733036707452,9,1.0
73,1.0,0.8234983314794216,1.0,0.8234983314794215,9,2.0
74,1.0,0.75380978865406,1.0,0.7538097886540601,9,3.0
75,1.0,0.8065072302558399,1.0,0.8065072302558398,9,4.0
76,1.0,0.7745550611790879,1.0,0.7745550611790879,9,5.0
77,1.0,0.7721361637024289,1.0,0.7721361637024288,10,0.0
78,1.0,0.7519602218397399,1.0,0.7519602218397399,10,0.5
79,1.0,0.7362784471218208,1.0,0.7362784471218207,10,1.0
80,1.0,0.7442149550583286,1.0,0.7442149550583286,10,2.0
81,1.0,0.7928858290304074,1.0,0.7928858290304073,10,3.0
82,1.0,0.7883916618856377,1.0,0.7883916618856378,10,4.0
83,1.0,0.7778733983553261,1.0,0.7778733983553261,10,5.0
84,1.0,0.7545419774335438,1.0,0.7545419774335438,11,0.0
85,1.0,0.7510996366418053,1.0,0.7510996366418053,11,0.5
86,1.0,0.761617900172117,1.0,0.7616179001721171,11,1.0
87,1.0,0.7785427423981641,1.0,0.7785427423981641,11,2.0
88,1.0,0.7607573149741824,1.0,0.7607573149741824,11,3.0
89,1.0,0.7757697456492638,1.0,0.7757697456492637,11,4.0
90,1.0,0.7564543889845095,1.0,0.7564543889845095,11,5.0
91,1.0,0.7641996557659209,1.0,0.7641996557659207,12,0.0
92,1.0,0.8233887932683114,1.0,0.8233887932683113,12,0.5
93,1.0,0.835819468349589,1.0,0.8358194683495888,12,1.0
94,1.0,0.803021610250526,1.0,0.8030216102505259,12,2.0
