,cv_idx,smote__sampling_strategy,train_score,test_score
57,56,<function _fit_score.<locals>.resampling at 0x7f17cbee10d0>,1.0,0.8159259259259259
58,57,<function _fit_score.<locals>.resampling at 0x7f17cbee1158>,1.0,0.5892592592592593
59,58,<function _fit_score.<locals>.resampling at 0x7f17cbee11e0>,1.0,0.7461538461538462
60,59,<function _fit_score.<locals>.resampling at 0x7f17cc0e8e18>,1.0,0.6776923076923077
61,60,<function _fit_score.<locals>.resampling at 0x7f17cc0e8d90>,1.0,0.5907407407407407
62,61,<function _fit_score.<locals>.resampling at 0x7f17cc0e8d08>,1.0,0.6692592592592593
63,62,<function _fit_score.<locals>.resampling at 0x7f17cbfc7048>,1.0,0.5351851851851851
64,63,<function _fit_score.<locals>.resampling at 0x7f17cbfc70d0>,1.0,0.6603703703703704
65,64,<function _fit_score.<locals>.resampling at 0x7f17cbfc7400>,1.0,0.6192592592592592
66,65,<function _fit_score.<locals>.resampling at 0x7f17cbfc7378>,1.0,0.6562962962962962
67,66,<function _fit_score.<locals>.resampling at 0x7f17cbfc72f0>,1.0,0.6677777777777778
68,67,<function _fit_score.<locals>.resampling at 0x7f17cbfc7268>,1.0,0.7703703703703704
69,68,<function _fit_score.<locals>.resampling at 0x7f17cbfc71e0>,1.0,0.6884615384615385
70,69,<function _fit_score.<locals>.resampling at 0x7f17cbee12f0>,1.0,0.7746153846153846
71,70,<function _fit_score.<locals>.resampling at 0x7f17cbee1378>,1.0,0.7348148148148149
72,71,<function _fit_score.<locals>.resampling at 0x7f17cbee1400>,1.0,0.5692592592592592
73,72,<function _fit_score.<locals>.resampling at 0x7f17cbee1488>,1.0,0.6092592592592592
74,73,<function _fit_score.<locals>.resampling at 0x7f17cbee1510>,1.0,0.6848148148148149
75,74,<function _fit_score.<locals>.resampling at 0x7f17cbee1598>,1.0,0.7203703703703703
76,75,<function _fit_score.<locals>.resampling at 0x7f17cbee1620>,1.0,0.6933333333333334
77,76,<function _fit_score.<locals>.resampling at 0x7f17cbee16a8>,1.0,0.6692592592592593
78,77,<function _fit_score.<locals>.resampling at 0x7f17cbee1730>,1.0,0.6648148148148149
79,78,<function _fit_score.<locals>.resampling at 0x7f17cbee17b8>,1.0,0.7376923076923078
80,79,<function _fit_score.<locals>.resampling at 0x7f17cbee1ea0>,1.0,0.7638461538461538
81,80,<function _fit_score.<locals>.resampling at 0x7f17cbee1f28>,1.0,0.6307407407407407
82,81,<function _fit_score.<locals>.resampling at 0x7f17cc051048>,1.0,0.6292592592592592
83,82,<function _fit_score.<locals>.resampling at 0x7f17cc0510d0>,1.0,0.7203703703703703
84,83,<function _fit_score.<locals>.resampling at 0x7f17cc051158>,1.0,0.7533333333333333
85,84,<function _fit_score.<locals>.resampling at 0x7f17cc0511e0>,1.0,0.6848148148148149
86,85,<function _fit_score.<locals>.resampling at 0x7f17cc051268>,1.0,0.7403703703703703
87,86,<function _fit_score.<locals>.resampling at 0x7f17cc0512f0>,1.0,0.6022222222222222
88,87,<function _fit_score.<locals>.resampling at 0x7f17cc051378>,1.0,0.6748148148148149
89,88,<function _fit_score.<locals>.resampling at 0x7f17cc051400>,1.0,0.6792307692307692
90,89,<function _fit_score.<locals>.resampling at 0x7f17cbff8378>,1.0,0.7069230769230769
91,90,<function _fit_score.<locals>.resampling at 0x7f17cbff82f0>,1.0,0.6277777777777778
92,91,<function _fit_score.<locals>.resampling at 0x7f17cbff8268>,1.0,0.6818518518518518
93,92,<function _fit_score.<locals>.resampling at 0x7f17cbff81e0>,1.0,0.6577777777777778
94,93,<function _fit_score.<locals>.resampling at 0x7f17cbff8158>,1.0,0.6362962962962962
95,94,<function _fit_score.<locals>.resampling at 0x7f17cbff8d90>,1.0,0.6962962962962963
96,95,<function _fit_score.<locals>.resampling at 0x7f17cbff8d08>,1.0,0.7318518518518519
97,96,<function _fit_score.<locals>.resampling at 0x7f17cbff88c8>,1.0,0.6692592592592593
98,97,<function _fit_score.<locals>.resampling at 0x7f17cbff8ea0>,1.0,0.6007407407407408
99,98,<function _fit_score.<locals>.resampling at 0x7f17cbff8e18>,1.0,0.6484615384615384
