,cv_idx,smote__sampling_strategy,train_score,test_score
57,10,<function _fit_score.<locals>.resampling at 0x7f17cbf75bf8>,1.0,0.9462955053894652
58,10,<function _fit_score.<locals>.resampling at 0x7f17cbf75c80>,1.0,0.9444773235712833
59,10,<function _fit_score.<locals>.resampling at 0x7f17cbf75d08>,1.0,0.934407158836689
60,11,<function _fit_score.<locals>.resampling at 0x7f17cbfc7c80>,1.0,0.9262955053894651
61,11,<function _fit_score.<locals>.resampling at 0x7f17cbf7a378>,1.0,0.9239175310148464
62,11,<function _fit_score.<locals>.resampling at 0x7f17cbf7a400>,1.0,0.944197173073012
63,11,<function _fit_score.<locals>.resampling at 0x7f17cbf7a488>,1.0,0.936225340654871
64,11,<function _fit_score.<locals>.resampling at 0x7f17cbf7a510>,1.0,0.937204596298556
65,12,<function _fit_score.<locals>.resampling at 0x7f17cbf7a8c8>,1.0,0.9348266219239373
66,12,<function _fit_score.<locals>.resampling at 0x7f17cbf7a950>,1.0,0.9205608094366484
67,12,<function _fit_score.<locals>.resampling at 0x7f17cbf7a9d8>,1.0,0.9313300793166565
68,12,<function _fit_score.<locals>.resampling at 0x7f17cbf7aa60>,1.0,0.9397213748220459
69,12,<function _fit_score.<locals>.resampling at 0x7f17cbf7aae8>,1.0,0.9422391702257473
70,13,<function _fit_score.<locals>.resampling at 0x7f17cbf7a598>,1.0,0.9366448037421192
71,13,<function _fit_score.<locals>.resampling at 0x7f17cbf7fbf8>,1.0,0.93272879804759
72,13,<function _fit_score.<locals>.resampling at 0x7f17cbf7fc80>,1.0,0.9275538946512101
73,13,<function _fit_score.<locals>.resampling at 0x7f17cbf7fd08>,1.0,0.9509106162294081
74,13,<function _fit_score.<locals>.resampling at 0x7f17cbf7fd90>,1.0,0.936225340654871
75,14,<function _fit_score.<locals>.resampling at 0x7f17cbf236a8>,1.0,0.9506293706293706
76,14,<function _fit_score.<locals>.resampling at 0x7f17cbf23730>,1.0,0.9397202797202798
77,14,<function _fit_score.<locals>.resampling at 0x7f17cbf237b8>,1.0,0.9478321678321677
78,14,<function _fit_score.<locals>.resampling at 0x7f17cbf23840>,1.0,0.9479720279720278
79,14,<function _fit_score.<locals>.resampling at 0x7f17cbf238c8>,1.0,0.9555244755244756
80,15,<function _fit_score.<locals>.resampling at 0x7f17cbf7f158>,1.0,0.9191608391608391
81,15,<function _fit_score.<locals>.resampling at 0x7f17cbf7f1e0>,1.0,0.9316083916083915
82,15,<function _fit_score.<locals>.resampling at 0x7f17cbf7f268>,1.0,0.9286713286713286
83,15,<function _fit_score.<locals>.resampling at 0x7f17cbf7f2f0>,1.0,0.9262937062937062
84,15,<function _fit_score.<locals>.resampling at 0x7f17cbf7f378>,1.0,0.935104895104895
85,16,<function _fit_score.<locals>.resampling at 0x7f17cbf7a620>,1.0,0.9198601398601399
86,16,<function _fit_score.<locals>.resampling at 0x7f17cbf7a6a8>,1.0,0.9102097902097902
87,16,<function _fit_score.<locals>.resampling at 0x7f17cbf7a730>,1.0,0.9191608391608391
88,16,<function _fit_score.<locals>.resampling at 0x7f17cbf7a7b8>,1.0,0.9275524475524476
89,16,<function _fit_score.<locals>.resampling at 0x7f17cbf7a840>,1.0,0.9299300699300699
90,17,<function _fit_score.<locals>.resampling at 0x7f17cbf75d90>,1.0,0.9360114338216529
91,17,<function _fit_score.<locals>.resampling at 0x7f17cbf75e18>,1.0,0.9302572609871881
92,17,<function _fit_score.<locals>.resampling at 0x7f17cbf75ea0>,1.0,0.9403603695574497
93,17,<function _fit_score.<locals>.resampling at 0x7f17cbf75f28>,1.0,0.9396610688581492
94,17,<function _fit_score.<locals>.resampling at 0x7f17cbf7a048>,1.0,0.9280062273492931
95,18,<function _fit_score.<locals>.resampling at 0x7f17cbf7ab70>,1.0,0.9428844877749988
96,18,<function _fit_score.<locals>.resampling at 0x7f17cbf7abf8>,1.0,0.9538400285845541
97,18,<function _fit_score.<locals>.resampling at 0x7f17cbf7ac80>,1.0,0.9514491348067992
98,18,<function _fit_score.<locals>.resampling at 0x7f17cbf7ad08>,1.0,0.9364310142412333
99,18,<function _fit_score.<locals>.resampling at 0x7f17cbf7ad90>,1.0,0.9497708131284776
100,19,<function _fit_score.<locals>.resampling at 0x7f17cbf7f400>,1.0,0.9319355826655097
101,19,<function _fit_score.<locals>.resampling at 0x7f17cbf7f488>,1.0,0.9431708437547853
102,19,<function _fit_score.<locals>.resampling at 0x7f17cbf7f510>,1.0,0.9434439283344392
103,19,<function _fit_score.<locals>.resampling at 0x7f17cbf7f598>,1.0,0.9337670358838243
104,19,<function _fit_score.<locals>.resampling at 0x7f17cbf7f620>,1.0,0.9385355520392016
105,20,<function _fit_score.<locals>.resampling at 0x7f17cbf1b0d0>,1.0,0.94237899125483
106,20,<function _fit_score.<locals>.resampling at 0x7f17cbf1b158>,1.0,0.9352465934512915
107,20,<function _fit_score.<locals>.resampling at 0x7f17cbf1b1e0>,1.0,0.9422391702257473
108,20,<function _fit_score.<locals>.resampling at 0x7f17cbf1b268>,1.0,0.9436378889566809
109,20,<function _fit_score.<locals>.resampling at 0x7f17cbf1b2f0>,1.0,0.9346868008948546
110,21,<function _fit_score.<locals>.resampling at 0x7f17cbf16840>,1.0,0.93496644295302
111,21,<function _fit_score.<locals>.resampling at 0x7f17cbf168c8>,1.0,0.9331482611348384
112,21,<function _fit_score.<locals>.resampling at 0x7f17cbf16950>,1.0,0.9437777099857636
113,21,<function _fit_score.<locals>.resampling at 0x7f17cbf169d8>,1.0,0.9530084401057556
114,21,<function _fit_score.<locals>.resampling at 0x7f17cbf16a60>,1.0,0.9372040878584503
115,22,<function _fit_score.<locals>.resampling at 0x7f17cbf851e0>,1.0,0.9402811673784827
116,22,<function _fit_score.<locals>.resampling at 0x7f17cbf85268>,1.0,0.9377638804148872
117,22,<function _fit_score.<locals>.resampling at 0x7f17cbf852f0>,1.0,0.9429387838112672
118,22,<function _fit_score.<locals>.resampling at 0x7f17cbf85378>,1.0,0.94531624974578
119,22,<function _fit_score.<locals>.resampling at 0x7f17cbf85400>,1.0,0.9441976815131178
120,23,<function _fit_score.<locals>.resampling at 0x7f17cbf8d1e0>,1.0,0.9255953833638397
121,23,<function _fit_score.<locals>.resampling at 0x7f17cbf1bb70>,1.0,0.9278330282692698
122,23,<function _fit_score.<locals>.resampling at 0x7f17cbf1bbf8>,1.0,0.9394417327638804
123,23,<function _fit_score.<locals>.resampling at 0x7f17cbf1bc80>,1.0,0.9303508236729713
124,23,<function _fit_score.<locals>.resampling at 0x7f17cbf1bd08>,1.0,0.9323088265202358
125,24,<function _fit_score.<locals>.resampling at 0x7f17cbf85950>,1.0,0.9195804195804196
126,24,<function _fit_score.<locals>.resampling at 0x7f17cbf859d8>,1.0,0.9317482517482516
127,24,<function _fit_score.<locals>.resampling at 0x7f17cbf85a60>,1.0,0.9247552447552447
128,24,<function _fit_score.<locals>.resampling at 0x7f17cbf85ae8>,1.0,0.928951048951049
129,24,<function _fit_score.<locals>.resampling at 0x7f17cbf85b70>,1.0,0.9316083916083915
130,25,<function _fit_score.<locals>.resampling at 0x7f17cbf85488>,1.0,0.9337062937062938
131,25,<function _fit_score.<locals>.resampling at 0x7f17cbf85510>,1.0,0.9395804195804195
132,25,<function _fit_score.<locals>.resampling at 0x7f17cbf85598>,1.0,0.9482517482517482
133,25,<function _fit_score.<locals>.resampling at 0x7f17cbf85620>,1.0,0.9391608391608393
134,25,<function _fit_score.<locals>.resampling at 0x7f17cbf856a8>,1.0,0.9492307692307692
135,26,<function _fit_score.<locals>.resampling at 0x7f17cbf7fea0>,1.0,0.9381818181818182
136,26,<function _fit_score.<locals>.resampling at 0x7f17cbf7ff28>,1.0,0.9430769230769231
137,26,<function _fit_score.<locals>.resampling at 0x7f17cbf85048>,1.0,0.9478321678321677
138,26,<function _fit_score.<locals>.resampling at 0x7f17cbf850d0>,1.0,0.9458741258741259
139,26,<function _fit_score.<locals>.resampling at 0x7f17cbf85158>,1.0,0.9493706293706294
140,27,<function _fit_score.<locals>.resampling at 0x7f17cbf85ea0>,1.0,0.9504701138277781
141,27,<function _fit_score.<locals>.resampling at 0x7f17cbf85f28>,1.0,0.9501903935480578
142,27,<function _fit_score.<locals>.resampling at 0x7f17cbf8d048>,1.0,0.9455617375325406
143,27,<function _fit_score.<locals>.resampling at 0x7f17cbf8d0d0>,1.0,0.9361579296615793
144,27,<function _fit_score.<locals>.resampling at 0x7f17cbf8d158>,1.0,0.9546858251237814
145,28,<function _fit_score.<locals>.resampling at 0x7f17cbf162f0>,1.0,0.9138339033229543
146,28,<function _fit_score.<locals>.resampling at 0x7f17cbf16378>,1.0,0.9417656066561176
147,28,<function _fit_score.<locals>.resampling at 0x7f17cbf16400>,1.0,0.944436220713593
148,28,<function _fit_score.<locals>.resampling at 0x7f17cbf16488>,1.0,0.9367173702210199
149,28,<function _fit_score.<locals>.resampling at 0x7f17cbf16510>,1.0,0.9433107038946454
150,29,<function _fit_score.<locals>.resampling at 0x7f17cbf7fe18>,1.0,0.9282925833290797
151,29,<function _fit_score.<locals>.resampling at 0x7f17cbf85730>,1.0,0.9303971211270482
152,29,<function _fit_score.<locals>.resampling at 0x7f17cbf857b8>,1.0,0.9249226685723037
153,29,<function _fit_score.<locals>.resampling at 0x7f17cbf85840>,1.0,0.9285723036087999
